Species;Size
Loxioides_bailleui;ok
Loxops_coccineus;ok
Psittirostra_psittacea;ok
Pyrrhula_pyrrhula;ok
Serinus_serinus;ok
Spinus_magellanicus;ok
Spinus_notatus;ok
Spinus_spinus;ok
Drepanis_coccinea;ok
Cinclodes_antarcticus;ok
Cinclodes_patagonicus;ok
Furnarius_rufus;ok
Geositta_cunicularia;ok
Atticora_fasciata;ok
Cecropis_abyssinica;ok
Delichon_urbicum;ok
Hirundo_aethiopica;ok
Hirundo_rustica;ok
Phedina_borbonica;ok
Progne_chalybea;ok
Pseudochelidon_eurystomina;ok
Ptyonoprogne_rupestris;ok
Riparia_paludicola;ok
Riparia_riparia;ok
Tachycineta_leucopyga;ok
Cacicus_cela;ok
Icteria_virens;ok
Leistes_loyca;ok
Quiscalus_lugubris;ok
Chloropsis_aurifrons;ok
Lanius_collurio;ok
Lanius_humeralis;ok
Lanius_senator;ok
Alcippe_poioicephala;ok
Garrulax_leucolophus;ok
Pterorhinus_albogularis;ok
Sylvietta_rufescens;ok
Sylvietta_virens;ok
Laniarius_luehderi;ok
Malurus_cyaneus;ok
Gliciphila_undulata;ok
Lichmera_incana;ok
Myzomela_rubratra;ok
Philemon_buceroides;ok
Philemon_corniculatus;ok
Philemon_diemenensis;ok
Mimus_saturninus;ok
Ramphocinclus_brachyurus;ok
Moho_nobilis;ok
Chasiempis_sandwichensis;ok
Hypothymis_azurea;ok
Mayrornis_lessoni;ok
Terpsiphone_batesi;ok
Terpsiphone_bourbonnensis;ok
Terpsiphone_corvina;ok
Terpsiphone_mutata;ok
Terpsiphone_paradisi;ok
Terpsiphone_viridis;ok
Trochocercus_nitens;ok
Anthus_campestris;ok
Anthus_correndera;ok
Anthus_pratensis;ok
Anthus_trivialis;ok
Motacilla_alba;ok
Motacilla_flava;ok
Alethe_castanea;ok
Anthipes_monileger;ok
Cercotrichas_galactotes;ok
Cercotrichas_leucosticta;ok
Cercotrichas_podobe;ok
Copsychus_albospecularis;ok
Copsychus_saularis;ok
Copsychus_sechellarum;ok
Cyornis_banyumas;ok
Cyornis_unicolor;ok
Erithacus_rubecula;ok
Ficedula_hypoleuca;ok
Fraseria_cinerascens;ok
Humblotia_flavirostris;ok
Copsychus_malabaricus;ok
Luscinia_megarhynchos;ok
Melaenornis_pammelaina;ok
Bradornis_comitatus;ok
Muscicapa_striata;ok
Fraseria_griseigularis;ok
Oenanthe_hispanica;ok
Oenanthe_isabellina;ok
Oenanthe_oenanthe;ok
Phoenicurus_ochruros;ok
Phoenicurus_phoenicurus;ok
Saxicola_rubetra;ok
Saxicola_tectes;ok
Saxicola_torquatus;ok
Copsychus_fulicatus;ok
Anthreptes_malacensis;ok
Arachnothera_longirostra;ok
Chalcomitra_rubescens;ok
Chalcomitra_senegalensis;ok
Chalcoparia_singalensis;ok
Cinnyris_bifasciatus;ok
Cinnyris_chloropygius;ok
Cinnyris_coccinigastrus;ok
Cinnyris_dussumieri;ok
Cinnyris_habessinicus;ok
Cinnyris_jugularis;ok
Cinnyris_notatus;ok
Cinnyris_sovimanga;ok
Cinnyris_venustus;ok
Cyanomitra_olivacea;ok
Cyanomitra_veroxii;ok
Hedydipna_collaris;ok
Oriolus_traillii;ok
Oriolus_xanthornus;ok
Turnagra_capensis;ok
Pachycephala_olivacea;ok
Pachycephala_rufiventris;ok
Pachycephala_vitiensis;ok
Paradigalla_carunculata;ok
Cicinnurus_regius;ok
Lophorina_superba;ok
Parotia_lawesii;ok
Pardalotus_punctatus;ok
Cyanistes_caeruleus;ok
Parus_major;ok
Poecile_hudsonicus;ok
Poecile_montanus;ok
Cardellina_canadensis;ok
Geothlypis_formosa;ok
Geothlypis_trichas;ok
Setophaga_fusca;ok
Setophaga_petechia;ok
Arremon_taciturnus;ok
Zonotrichia_capensis;ok
Passer_domesticus;ok
Petronia_petronia;ok
Gampsorhynchus_rufulus;ok
Illadopsis_puveli;ok
Illadopsis_rufipennis;ok
Pellorneum_ruficeps;ok
Schoeniparus_rufogularis;ok
Petroica_australis;ok
Petroica_macrocephala;ok
Petroica_phoenicea;ok
Philepitta_castanea;ok
Phylloscopus_collybita;ok
Phylloscopus_trochilus;ok
Phylloscopus_bonelli;ok
Phylloscopus_sibilatrix;ok
Ceratopipra_erythrocephala;ok
Manacus_manacus;ok
Pipra_aureola;ok
Pitta_brachyura;ok
Erythropitta_granatina;ok
Pitta_moluccensis;ok
Batis_orientalis;ok
Batis_senegalensis;ok
Batis_soror;ok
Platysteira_castanea;ok
Platysteira_cyanea;ok
Platysteira_peltata;ok
Euplectes_axillaris;ok
Euplectes_capensis;ok
Euplectes_hordeaceus;ok
Euplectes_macroura;ok
Euplectes_orix;ok
Foudia_eminentissima;ok
Foudia_madagascariensis;ok
Malimbus_nitens;ok
Ploceus_cucullatus;ok
Ploceus_nelicourvi;ok
Ploceus_nigerrimus;ok
Ploceus_nigricollis;ok
Ploceus_ocularis;ok
Ploceus_sakalava;ok
Ploceus_subaureus;ok
Pachyphantes_superciliosus;ok
Quelea_quelea;ok
Polioptila_plumbea;ok
Prunella_modularis;ok
Alophoixus_pallidus;ok
Andropadus_importunus;ok
Baeopogon_indicator;ok
Bleda_canicapillus;ok
Bleda_eximius;ok
